qseqid,strain,contig,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,position
group5089,3209-6,3209-6_00557,unitig_0,80.93,257,45,4,1231,1485,73944,74198,7.00E-51,200,109
group4921,3207-4,3207-4_00942,unitig_0,90.67,150,11,3,1308,1456,74022,74169,8.00E-50,196,110
group1346,3211-8,3211-8_00815,unitig_0,87.27,165,21,0,1006,1170,74025,74189,1.00E-47,189,111
group7677,3331-132,3331-132_01886,unitig_0,85.96,171,24,0,40,210,74025,74195,2.00E-46,183,112
group11697,3328-130A,3328-130A_02290,unitig_0,80.77,260,42,7,235,490,74198,73943,8.00E-50,196,113
group15239,3224-21,3224-21_05006,unitig_0,81.59,239,40,4,235,471,74198,73962,7.00E-50,195,114
group1272,3207-4,3207-4_01670,unitig_0,97.05,237,7,0,1,237,74743,74507,7.00E-112,399,115
group1271,3214-11,3214-11_05446,unitig_0,95.63,870,38,0,1,870,74834,75703,0,1397,116
group9067,3318-122A,3318-122A_01701,unitig_0,100,900,0,0,1,900,76669,75770,0,1663,117
group6958,3325-128A,3325-128A_02092,unitig_0,97.62,756,18,0,1,756,77421,76666,0,1297,118
group15452,3387-160,3387-160_05024,unitig_0,76.44,225,47,6,400,621,78110,77889,4.00E-26,117,119
group6957,3318-122A,3318-122A_01699,unitig_0,100,1092,0,0,1,1092,78524,77433,0,2017,120
group9068,3334-134A,3334-134A_02838,unitig_0,100,873,0,0,1,873,80211,79339,0,1613,121
group9069,3320-123,3320-123_01316,unitig_0,95.82,1293,51,3,1,1290,81558,80266,0,2085,122
group9071,3328-130A,3328-130A_02080,unitig_0,95.13,637,29,2,1,636,83263,82628,0,1003,123
group7740,3320-123,3320-123_01319,unitig_0,97.14,840,24,0,1,840,84308,83469,0,1419,124
group9072,3320-123,3320-123_01320,unitig_0,96.23,1140,37,2,7,1140,85457,84318,0,1862,125
group1270,3214-11,3214-11_05447,unitig_0,98.31,237,4,0,1,237,85882,85646,7.00E-117,416,126
group1269,3215-12,3215-12_02088,unitig_0,95.89,1290,53,0,1,1290,87193,85904,0,2089,127
group1268,3213-10,3213-10_04912,unitig_0,93.76,1410,88,0,1,1410,87384,88793,0,2117,128
group1267,3213-10,3213-10_04913,unitig_0,78.46,1105,216,17,1,1094,88920,90013,0,702,129
group4145,3214-11,3214-11_03247,unitig_0,73.33,645,144,22,94,724,90260,90890,4.00E-55,213,130
group1265,3212-9,3212-9_04524,unitig_0,89.81,913,91,2,1,912,91260,92171,0,1170,131
group1264,3212-9,3212-9_04523,unitig_0,88.77,819,92,0,1,819,92175,92993,0,1003,132
group1263,3212-9,3212-9_04522,unitig_0,93.18,1892,127,2,1,1891,94975,93085,0,2778,133
group3207,3213-10,3213-10_05915,unitig_0,100,44,0,0,770,813,95059,95102,1.00E-15,82.4,134
group10683,3281-86,3281-86_00833,unitig_0,94.34,53,3,0,6,58,95061,95113,7.00E-16,82.4,135
group12101,3337-135B,3337-135B_03024,unitig_0,97.06,34,1,0,111,144,95112,95079,3.00E-09,58.4,136
group1262,3210-7,3210-7_02210,unitig_0,92.93,1953,138,0,1,1953,95252,97204,0,2843,137
group17327,3375-154A,3375-154A_01921,unitig_0,89.58,144,15,0,4,147,97207,97350,4.00E-47,183,138
group1261,3208-5,3208-5_04319,unitig_0,93.96,1176,71,0,2673,3848,98645,97470,0,1779,139
group1260,3213-10,3213-10_07094,unitig_0,95.78,450,19,0,1,450,101498,101947,0,726,140
group14818,3404-170B,3404-170B_01659,unitig_0,92.09,215,12,3,1,210,102684,102898,2.00E-81,298,141
group9448,3346-141A,3346-141A_00653,unitig_0,100,405,0,0,1,405,102684,103088,0,749,142
group16596,3321-125,3321-125_03763,unitig_0,99.91,1173,1,0,1,1173,104266,103094,0,2161,143
group14322,3319-122B,3319-122B_02381,unitig_0,99.93,1437,1,0,1,1437,105706,104270,0,2649,144
group8815,3385-158,3385-158_01167,unitig_0,100,153,0,0,1,153,106033,106185,4.00E-77,283,145
group16595,3403-170A,3403-170A_00946,unitig_0,99.72,351,1,0,1,351,106149,106499,0,643,146
group6633,3246-48,3246-48_04451,unitig_0,78.55,331,50,16,7,332,106501,106815,4.00E-51,198,147
group6956,3403-170A,3403-170A_00947,unitig_0,99.89,2640,3,0,1,2640,107118,109757,0,4859,148
group7637,3283-88,3283-88_05243,unitig_0,79.67,369,75,0,1245,1613,108404,108772,9.00E-71,267,149
group3295,3210-7,3210-7_02829,unitig_0,80.23,354,68,2,1255,1607,108420,108772,3.00E-70,265,150
group16619,3347-141B,3347-141B_03120,unitig_0,88.3,966,107,5,256,1218,108795,109757,0,1153,151
group15108,3308-113,3308-113_07234,unitig_0,94.37,71,3,1,2,71,110445,110375,3.00E-24,108,152
group10023,3387-160,3387-160_06747,unitig_0,93.75,240,15,0,586,825,110601,110362,1.00E-99,361,153
group9788,3320-123,3320-123_02824,unitig_0,92.95,227,16,0,565,791,110601,110375,1.00E-90,331,154
group11893,3381-156,3381-156_07209,unitig_0,90.67,193,18,0,584,776,110603,110411,2.00E-68,257,155
group9683,3249-51,3249-51_07090,unitig_0,91.13,282,23,2,584,864,110603,110323,1.00E-105,381,156
group15109,3292-97,3292-97_04030,unitig_0,88.33,317,37,0,1,317,111012,110696,4.00E-106,381,157
group10841,3381-156,3381-156_06700,unitig_0,84.86,885,130,4,1,883,111183,110301,0,889,158
group9447,3223-20,3223-20_04612,unitig_0,90.57,477,45,0,1,477,111183,110707,0,632,159
group9710,3227-25,3227-25_07440,unitig_0,96.17,183,7,0,1,183,111183,111001,7.00E-82,300,160
group9682,3269-73,3269-73_01161,unitig_0,92.98,470,32,1,2,471,111254,110786,0,684,161
group10673,3231-32,3231-32_06134,unitig_0,95.12,451,21,1,1,450,111582,112032,0,710,162
group7628,3213-10,3213-10_03415,unitig_0,91.17,4645,399,10,1,4638,111582,116222,0,6296,163
group7549,3366-151A,3366-151A_06403,unitig_0,85.19,4645,675,12,2,4638,111583,116222,0,4754,164
group12460,3343-138B,3343-138B_04541,unitig_0,81.2,516,97,0,1,516,112295,111780,2.00E-116,416,165
group10013,3350-144B,3350-144B_07895,unitig_0,85.15,3893,559,18,1,3882,112338,116222,0,3969,166
group12397,3349-144A,3349-144A_01750,unitig_0,87.18,390,48,2,1,389,112475,112087,2.00E-124,442,167
group8967,3273-78,3273-78_02076,unitig_0,93.51,955,61,1,1,954,112475,111521,0,1419,168
group12509,3351-145A,3351-145A_06711,unitig_0,84.19,1006,157,2,1,1005,112784,111780,0,976,169
group15709,3351-145A,3351-145A_06934,unitig_0,85.55,3184,449,10,1,3177,113043,116222,0,3321,170
group8989,3349-144A,3349-144A_01749,unitig_0,84.25,730,110,4,1,726,113447,112719,0,706,171
group9670,3395-165B,3395-165B_01661,unitig_0,100,2730,0,0,1,2730,113493,116222,0,5042,172
group18964,3273-78,3273-78_07325,unitig_0,86.82,258,31,2,7,261,113495,113238,2.00E-77,285,173
group12211,3274-79,3274-79_06982,unitig_0,90.46,388,35,2,1,387,113786,113400,5.00E-145,510,174
group8730,3274-79,3274-79_04677,unitig_0,87.98,1131,123,11,1,1123,113876,112751,0,1323,175
group14189,3387-160,3387-160_07003,unitig_0,87.75,653,80,0,24,676,114051,113399,0,763,176
group15699,3386-159,3386-159_07168,unitig_0,85.76,316,45,0,2,317,114442,114127,3.00E-92,335,177
group15508,3249-51,3249-51_07083,unitig_0,90.06,825,82,0,1,825,114614,113790,0,1070,178
group10055,3273-78,3273-78_05697,unitig_0,86.74,1599,185,12,1,1575,114621,116216,0,1753,179
group11973,3359-148A,3359-148A_07686,unitig_0,82.39,318,56,0,7,324,115043,114726,5.00E-75,278,180
group12183,3349-144A,3349-144A_05746,unitig_0,85.69,1041,143,5,4,1041,115185,116222,0,1092,181
group19714,3399-168A,3399-168A_07096,unitig_0,89.69,611,61,2,2,611,115423,114814,0,778,182
group12136,3392-164B,3392-164B_05927,unitig_0,86.74,724,86,7,1,719,115464,116182,0,797,183
group16953,3379-155B,3379-155B_06969,unitig_0,85.45,536,59,12,1,519,115672,115139,9.00E-154,540,184
group9073,3217-14,3217-14_02990,unitig_0,96.81,94,3,0,1,94,116388,116295,2.00E-38,158,185
group16895,3380-155C,3380-155C_05929,unitig_0,95.1,102,4,1,2,102,116918,117019,5.00E-40,159,186
group4422,3216-13,3216-13_06617,unitig_0,93.57,684,44,0,1,684,117192,117875,0,1020,187
group9074,3208-5,3208-5_04692,unitig_0,96.46,1242,44,0,1,1242,118000,119241,0,2050,188
group14992,3294-99B,3294-99B_02053,unitig_0,96.09,230,9,0,2,231,119520,119291,1.00E-104,375,189
group9075,3210-7,3210-7_05251,unitig_0,99.34,1056,7,0,1,1056,120346,119291,0,1912,190
group7769,3213-10,3213-10_03410,unitig_0,96.01,852,34,0,1,852,121231,120380,0,1386,191
group4420,3214-11,3214-11_01022,unitig_0,96.59,909,31,0,1,909,122129,121221,0,1507,192
group4418,3210-7,3210-7_05254,unitig_0,99.01,1110,11,0,1,1110,123240,122131,0,1989,193
group9076,3215-12,3215-12_03740,unitig_0,94.44,665,37,0,1,665,123520,124184,0,1024,194
group9077,3208-5,3208-5_04686,unitig_0,94.05,1362,81,0,1,1362,124291,125652,0,2067,195
group9078,3214-11,3214-11_01026,unitig_0,98.95,1710,18,0,1,1710,125655,127364,0,3059,196
group9079,3213-10,3213-10_03404,unitig_0,96.91,777,24,0,1,777,127361,128137,0,1303,197
group19125,3214-11,3214-11_01027,unitig_0,99.61,255,1,0,1,255,127606,127352,7.00E-132,466,198
group7374,3214-11,3214-11_01028,unitig_0,99.6,249,1,0,1,249,127889,128137,1.00E-128,455,199
group8282,3214-11,3214-11_01029,unitig_0,99.85,672,1,0,1,672,128176,128847,0,1236,200
group10452,3246-48,3246-48_01700,unitig_0,98.38,185,3,0,5,189,128840,128656,9.00E-90,326,201
group11972,3339-136B,3339-136B_06552,unitig_0,90.91,110,10,0,66,175,129198,129089,2.00E-36,148,202
group9080,3210-7,3210-7_05261,unitig_0,93,357,22,2,1,354,129290,128934,3.00E-147,518,203
group9369,3211-8,3211-8_04642,unitig_0,91.07,347,31,0,1,347,129290,128944,8.00E-133,470,204
group13469,3211-8,3211-8_04641,unitig_0,85.42,542,75,4,1,540,129382,129921,7.00E-160,560,205
group13470,3211-8,3211-8_04640,unitig_0,81.71,667,114,8,1,663,129925,130587,2.00E-156,549,206
group9082,3208-5,3208-5_04680,unitig_0,90.82,621,57,0,1,621,129967,130587,0,832,207
group7734,3329-130B,3329-130B_01007,unitig_0,88.06,201,22,2,1,200,130584,130783,1.00E-62,237,208
group9083,3215-12,3215-12_03748,unitig_0,93.67,300,19,0,1,300,130584,130883,8.00E-127,449,209
group9084,3210-7,3210-7_05265,unitig_0,98.82,339,4,0,1,339,130889,131227,2.00E-173,604,210
group9085,3216-13,3216-13_06601,unitig_0,95.14,2368,113,2,1,2367,131220,133586,0,3735,211
group17259,3367-151B,3367-151B_06926,unitig_0,94.58,627,34,0,1,627,132960,133586,0,970,212
group13471,3210-7,3210-7_00621,unitig_0,92.25,271,21,0,78,348,133316,133586,3.00E-107,385,213
group9086,3209-6,3209-6_03849,unitig_0,92.27,699,51,2,1,699,133586,134281,0,989,214
group9087,3215-12,3215-12_03753,unitig_0,91.86,921,75,0,1,921,134515,135435,0,1286,215
group9088,3208-5,3208-5_04673,unitig_0,93.33,285,19,0,1,285,135488,135772,2.00E-118,422,216
group9089,3208-5,3208-5_04672,unitig_0,91.37,672,58,0,1,672,135774,136445,0,920,217
group9090,3208-5,3208-5_04671,unitig_0,96.39,858,31,0,1,858,136442,137299,0,1413,218
group7546,3213-10,3213-10_03390,unitig_0,90.88,1173,107,0,1,1173,137309,138481,0,1574,219
group9091,3209-6,3209-6_03842,unitig_0,94.19,1032,59,1,1,1032,138490,139520,0,1572,220
group17823,3385-158,3385-158_01137,unitig_0,100,261,0,0,1,261,139260,139520,7.00E-137,483,221
group4416,3213-10,3213-10_03388,unitig_0,93.83,1914,118,0,1,1914,141538,139625,0,2881,222
group9092,3216-13,3216-13_06591,unitig_0,91.67,240,17,1,1,237,141768,141529,9.00E-91,329,223
group14545,3351-145A,3351-145A_06928,unitig_0,88.5,287,33,0,122,408,142044,141758,4.00E-96,348,224
group9684,3211-8,3211-8_00936,unitig_0,91.49,282,23,1,1,282,142045,141765,6.00E-108,387,225
group9434,3212-9,3212-9_06350,unitig_0,94.01,284,15,2,4,287,142224,142505,1.00E-120,429,226
group5131,3212-9,3212-9_06351,unitig_0,93.14,437,30,0,1,437,143026,143462,0,641,227
group5132,3208-5,3208-5_04663,unitig_0,95.83,168,7,0,1,168,143508,143675,1.00E-73,272,228
group5133,3208-5,3208-5_04662,unitig_0,96.26,882,33,0,1,882,144553,143672,0,1447,229
group5134,3211-8,3211-8_00941,unitig_0,94.29,315,18,0,1,315,144864,144550,9.00E-137,483,230
group5135,3208-5,3208-5_04660,unitig_0,96.79,1497,48,0,1,1497,145045,146541,0,2499,231
group16508,3366-151A,3366-151A_04127,unitig_0,90.98,255,21,2,1,255,146797,146545,1.00E-94,342,232
group5136,3210-7,3210-7_05286,unitig_0,95.45,483,22,0,1,483,146885,147367,0,771,233
group5137,3212-9,3212-9_06357,unitig_0,90.86,1597,144,2,1,1596,147705,149300,0,2139,234
group5138,3211-8,3211-8_00945,unitig_0,95.12,1005,49,0,1,1005,149387,150391,0,1585,235
group5139,3208-5,3208-5_04656,unitig_0,96.3,891,33,0,1,891,150401,151291,0,1463,236
group5140,3212-9,3212-9_06360,unitig_0,94.69,1017,54,0,1,1017,151291,152307,0,1580,237
group1826,3210-7,3210-7_04982,unitig_0,80.53,113,22,0,494,606,151766,151878,4.00E-17,87.9,238
group5141,3207-4,3207-4_01696,unitig_0,96.12,954,37,0,1,954,152304,153257,0,1557,239
group12941,3210-7,3210-7_01745,unitig_0,82.61,69,11,1,947,1015,152420,152487,1.00E-08,60.2,240
group13050,3207-4,3207-4_04633,unitig_0,90,50,5,0,130,179,152424,152473,1.00E-10,65.8,241
group1602,3209-6,3209-6_01026,unitig_0,93.75,48,3,0,136,183,152433,152480,7.00E-13,73.1,242
group13140,3208-5,3208-5_05397,unitig_0,100,29,0,0,101,129,152440,152468,3.00E-07,54.7,243
group13231,3249-51,3249-51_06787,unitig_0,97.06,34,1,0,115,148,152442,152475,2.00E-08,58.4,244
group5142,3210-7,3210-7_05292,unitig_0,93.33,540,36,0,1,540,153285,153824,0,798,245
group5143,3209-6,3209-6_03825,unitig_0,93.76,1251,75,2,1,1248,155064,153814,0,1875,246
group5144,3214-11,3214-11_01063,unitig_0,94.41,501,28,0,1,501,155641,155141,0,771,247
group5145,3209-6,3209-6_03823,unitig_0,94.4,1053,59,0,1,1053,156693,155641,0,1618,248
group5146,3215-12,3215-12_03778,unitig_0,92.38,538,39,2,1,537,156865,157401,0,765,249
group5147,3209-6,3209-6_03821,unitig_0,93.57,607,37,2,1,606,157449,158054,0,904,250
group5148,3207-4,3207-4_01703,unitig_0,88.51,792,91,0,7,798,158057,158848,0,959,251
group7124,3359-148A,3359-148A_07681,unitig_0,93.89,180,11,0,2,181,158613,158792,2.00E-73,272,252
group10686,3302-107,3302-107_01350,unitig_0,96.33,109,4,0,816,924,158860,158752,4.00E-45,180,253
group19015,3309-114,3309-114_06895,unitig_0,91.88,357,28,1,103,459,158995,159350,5.00E-141,497,254
group10780,3327-129,3327-129_04858,unitig_0,96.38,138,5,0,1,138,159244,159381,2.00E-60,228,255
group11371,3221-18,3221-18_05592,unitig_0,96.9,258,8,0,1,258,159252,158995,1.00E-121,433,256
group7783,3216-13,3216-13_06570,unitig_0,91.5,306,26,0,1,306,159300,158995,6.00E-118,422,257
group10810,3327-129,3327-129_07467,unitig_0,95.42,262,11,1,35,295,159950,159689,9.00E-117,416,258
group7784,3213-10,3213-10_03364,unitig_0,94.31,897,47,4,2,897,160190,159297,0,1371,259
group19016,3286-91,3286-91_04812,unitig_0,90.24,420,38,2,1,417,160191,159772,1.00E-155,545,260
group7785,3211-8,3211-8_00958,unitig_0,93.28,1056,71,0,1,1056,161248,160193,0,1557,261
group10671,3280-85,3280-85_03148,unitig_0,87.36,87,11,0,1,87,161550,161636,2.00E-22,100,262
group7786,3218-15,3218-15_05490,unitig_0,91.07,560,50,0,8,567,161821,161262,0,758,263
group9391,3211-8,3211-8_00960,unitig_0,96.2,921,35,0,1,921,163016,162096,0,1507,264
