,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
590,group1592|3206-3|3206-3_00685,unitig_0_chrom|quiver,100.0,318,0,0,1,318,27800,27483,1.85e-168,588.0,group1592,3206-3,3206-3_00685
589,group1591|3206-3|3206-3_00684,unitig_0_chrom|quiver,100.0,750,0,0,1,750,28665,27916,0.0,1386.0,group1591,3206-3,3206-3_00684
588,group1590|3206-3|3206-3_00683,unitig_0_chrom|quiver,100.0,1053,0,0,1,1053,29749,28697,0.0,1945.0,group1590,3206-3,3206-3_00683
587,group1589|3206-3|3206-3_00682,unitig_0_chrom|quiver,100.0,918,0,0,1,918,30663,29746,0.0,1696.0,group1589,3206-3,3206-3_00682
586,group1588|3206-3|3206-3_00681,unitig_0_chrom|quiver,100.0,957,0,0,1,957,31619,30663,0.0,1768.0,group1588,3206-3,3206-3_00681
585,group1587|3206-3|3206-3_00680,unitig_0_chrom|quiver,100.0,603,0,0,1,603,31856,32458,0.0,1114.0,group1587,3206-3,3206-3_00680
584,group1586|3206-3|3206-3_00679,unitig_0_chrom|quiver,100.0,1074,0,0,1,1074,32535,33608,0.0,1984.0,group1586,3206-3,3206-3_00679
583,group1585|3206-3|3206-3_00678,unitig_0_chrom|quiver,100.0,1131,0,0,1,1131,33758,34888,0.0,2089.0,group1585,3206-3,3206-3_00678
582,group1584|3206-3|3206-3_00677,unitig_0_chrom|quiver,100.0,462,0,0,1,462,35361,34900,0.0,854.0,group1584,3206-3,3206-3_00677
581,group1583|3206-3|3206-3_00676,unitig_0_chrom|quiver,100.0,726,0,0,1,726,36133,35408,0.0,1341.0,group1583,3206-3,3206-3_00676
580,group1582|3206-3|3206-3_00674,unitig_0_chrom|quiver,100.0,531,0,0,1,531,38912,38382,0.0,981.0,group1582,3206-3,3206-3_00674
579,group1581|3206-3|3206-3_00673,unitig_0_chrom|quiver,100.0,1680,0,0,1,1680,39172,40851,0.0,3103.0,group1581,3206-3,3206-3_00673
578,group1580|3206-3|3206-3_00671,unitig_0_chrom|quiver,100.0,1143,0,0,1,1143,42293,41151,0.0,2111.0,group1580,3206-3,3206-3_00671
577,group1579|3206-3|3206-3_00670,unitig_0_chrom|quiver,100.0,2250,0,0,1,2250,42374,44623,0.0,4156.0,group1579,3206-3,3206-3_00670
576,group1578|3206-3|3206-3_00669,unitig_0_chrom|quiver,100.0,2190,0,0,1,2190,44889,47078,0.0,4045.0,group1578,3206-3,3206-3_00669
575,group1577|3206-3|3206-3_00668,unitig_0_chrom|quiver,100.0,240,0,0,1,240,47206,47445,3.11e-125,444.0,group1577,3206-3,3206-3_00668
574,group1576|3206-3|3206-3_00667,unitig_0_chrom|quiver,100.0,672,0,0,1,672,47461,48132,0.0,1242.0,group1576,3206-3,3206-3_00667
573,group1575|3206-3|3206-3_00666,unitig_0_chrom|quiver,100.0,915,0,0,1,915,48286,49200,0.0,1690.0,group1575,3206-3,3206-3_00666
572,group1574|3206-3|3206-3_00665,unitig_0_chrom|quiver,100.0,465,0,0,1,465,49200,49664,0.0,859.0,group1574,3206-3,3206-3_00665
571,group1573|3206-3|3206-3_00664,unitig_0_chrom|quiver,100.0,774,0,0,1,774,50628,49855,0.0,1430.0,group1573,3206-3,3206-3_00664
570,group1572|3206-3|3206-3_00663,unitig_0_chrom|quiver,100.0,585,0,0,1,585,50861,51445,0.0,1081.0,group1572,3206-3,3206-3_00663
569,group1571|3206-3|3206-3_00662,unitig_0_chrom|quiver,100.0,1200,0,0,1,1200,51638,52837,0.0,2217.0,group1571,3206-3,3206-3_00662
568,group1570|3206-3|3206-3_00661,unitig_0_chrom|quiver,100.0,1752,0,0,1,1752,53267,55018,0.0,3236.0,group1570,3206-3,3206-3_00661
548,group1568|3206-3|3206-3_00659,unitig_0_chrom|quiver,100.0,981,0,0,1,981,55625,56605,0.0,1812.0,group1568,3206-3,3206-3_00659
547,group1566|3206-3|3206-3_00658,unitig_0_chrom|quiver,100.0,846,0,0,1,846,57507,56662,0.0,1563.0,group1566,3206-3,3206-3_00658
546,group1565|3206-3|3206-3_00657,unitig_0_chrom|quiver,100.0,510,0,0,1,510,58019,57510,0.0,942.0,group1565,3206-3,3206-3_00657
545,group1564|3206-3|3206-3_00656,unitig_0_chrom|quiver,100.0,561,0,0,1,561,58770,58210,0.0,1037.0,group1564,3206-3,3206-3_00656
544,group1563|3206-3|3206-3_00655,unitig_0_chrom|quiver,100.0,909,0,0,1,909,59838,58930,0.0,1679.0,group1563,3206-3,3206-3_00655
543,group1562|3206-3|3206-3_00654,unitig_0_chrom|quiver,100.0,477,0,0,1,477,59912,60388,0.0,881.0,group1562,3206-3,3206-3_00654
542,group1561|3206-3|3206-3_00653,unitig_0_chrom|quiver,100.0,987,0,0,1,987,61381,60395,0.0,1823.0,group1561,3206-3,3206-3_00653
541,group1560|3206-3|3206-3_00652,unitig_0_chrom|quiver,100.0,564,0,0,1,564,61643,62206,0.0,1042.0,group1560,3206-3,3206-3_00652
540,group1559|3206-3|3206-3_00651,unitig_0_chrom|quiver,100.0,417,0,0,1,417,62623,62207,0.0,771.0,group1559,3206-3,3206-3_00651
539,group1558|3206-3|3206-3_00650,unitig_0_chrom|quiver,100.0,2070,0,0,1,2070,64697,62628,0.0,3823.0,group1558,3206-3,3206-3_00650
538,group1557|3206-3|3206-3_00649,unitig_0_chrom|quiver,100.0,2814,0,0,1,2814,67512,64699,0.0,5197.0,group1557,3206-3,3206-3_00649
537,group1556|3206-3|3206-3_00648,unitig_0_chrom|quiver,100.0,921,0,0,1,921,68429,67509,0.0,1701.0,group1556,3206-3,3206-3_00648
536,group1555|3206-3|3206-3_00647,unitig_0_chrom|quiver,100.0,1011,0,0,1,1011,69453,68443,0.0,1868.0,group1555,3206-3,3206-3_00647
535,group1554|3206-3|3206-3_00646,unitig_0_chrom|quiver,100.0,624,0,0,1,624,69612,70235,0.0,1153.0,group1554,3206-3,3206-3_00646
534,group1553|3206-3|3206-3_00645,unitig_0_chrom|quiver,100.0,651,0,0,1,651,70232,70882,0.0,1203.0,group1553,3206-3,3206-3_00645
533,group1552|3206-3|3206-3_00644,unitig_0_chrom|quiver,100.0,1254,0,0,1,1254,70879,72132,0.0,2316.0,group1552,3206-3,3206-3_00644
532,group1551|3206-3|3206-3_00643,unitig_0_chrom|quiver,100.0,186,0,0,1,186,72318,72133,2.46e-95,344.0,group1551,3206-3,3206-3_00643
531,group1550|3206-3|3206-3_00642,unitig_0_chrom|quiver,100.0,270,0,0,1,270,72702,72433,7.45e-142,499.0,group1550,3206-3,3206-3_00642
530,group1549|3206-3|3206-3_00641,unitig_0_chrom|quiver,100.0,912,0,0,1,912,73717,72806,0.0,1685.0,group1549,3206-3,3206-3_00641
529,group1548|3206-3|3206-3_00640,unitig_0_chrom|quiver,100.0,261,0,0,1,261,73896,74156,7.23e-137,483.0,group1548,3206-3,3206-3_00640
528,group1547|3206-3|3206-3_00639,unitig_0_chrom|quiver,100.0,1647,0,0,1,1647,75806,74160,0.0,3042.0,group1547,3206-3,3206-3_00639
527,group1546|3206-3|3206-3_00638,unitig_0_chrom|quiver,100.0,462,0,0,1,462,76483,76022,0.0,854.0,group1546,3206-3,3206-3_00638
3926,group5208|3206-3|3206-3_00124,unitig_0_chrom|quiver,75.071,702,151,24,1144,1833,77994,78683,1.31e-82,305.0,group5208,3206-3,3206-3_00124
524,group1544|3206-3|3206-3_00636,unitig_0_chrom|quiver,100.0,231,0,0,1,231,79068,78838,3.02e-120,427.0,group1544,3206-3,3206-3_00636
523,group1543|3206-3|3206-3_00635,unitig_0_chrom|quiver,100.0,1914,0,0,1,1914,79231,81144,0.0,3535.0,group1543,3206-3,3206-3_00635
522,group1542|3206-3|3206-3_00634,unitig_0_chrom|quiver,100.0,933,0,0,1,933,82032,81100,0.0,1724.0,group1542,3206-3,3206-3_00634
521,group1541|3206-3|3206-3_00633,unitig_0_chrom|quiver,100.0,579,0,0,1,579,82315,82893,0.0,1070.0,group1541,3206-3,3206-3_00633
520,group1540|3206-3|3206-3_00632,unitig_0_chrom|quiver,100.0,1269,0,0,1,1269,82908,84176,0.0,2344.0,group1540,3206-3,3206-3_00632
519,group1539|3206-3|3206-3_00631,unitig_0_chrom|quiver,100.0,885,0,0,1,885,84202,85086,0.0,1635.0,group1539,3206-3,3206-3_00631
518,group1538|3206-3|3206-3_00630,unitig_0_chrom|quiver,100.0,543,0,0,1,543,85202,85744,0.0,1003.0,group1538,3206-3,3206-3_00630
517,group1537|3206-3|3206-3_00629,unitig_0_chrom|quiver,100.0,468,0,0,1,468,86236,85769,0.0,865.0,group1537,3206-3,3206-3_00629
516,group1536|3206-3|3206-3_00628,unitig_0_chrom|quiver,100.0,492,0,0,1,492,86724,86233,0.0,909.0,group1536,3206-3,3206-3_00628
515,group1535|3206-3|3206-3_00627,unitig_0_chrom|quiver,100.0,1113,0,0,1,1113,86806,87918,0.0,2056.0,group1535,3206-3,3206-3_00627
514,group1534|3206-3|3206-3_00626,unitig_0_chrom|quiver,100.0,1104,0,0,1,1104,89189,88086,0.0,2039.0,group1534,3206-3,3206-3_00626
513,group1531|3206-3|3206-3_00623,unitig_0_chrom|quiver,100.0,312,0,0,1,312,90105,90416,3.91e-165,577.0,group1531,3206-3,3206-3_00623
512,group1530|3206-3|3206-3_00622,unitig_0_chrom|quiver,100.0,453,0,0,1,453,90900,90448,0.0,837.0,group1530,3206-3,3206-3_00622
511,group1529|3206-3|3206-3_00621,unitig_0_chrom|quiver,100.0,732,0,0,1,732,91637,90906,0.0,1352.0,group1529,3206-3,3206-3_00621
510,group1528|3206-3|3206-3_00620,unitig_0_chrom|quiver,100.0,714,0,0,1,714,92541,91828,0.0,1319.0,group1528,3206-3,3206-3_00620
509,group1527|3206-3|3206-3_00619,unitig_0_chrom|quiver,100.0,2352,0,0,1,2352,94918,92567,0.0,4344.0,group1527,3206-3,3206-3_00619
508,group1526|3206-3|3206-3_00618,unitig_0_chrom|quiver,100.0,609,0,0,1,609,95711,95103,0.0,1125.0,group1526,3206-3,3206-3_00618
3559,group4809|3206-3|3206-3_06641,unitig_0_chrom|quiver,100.0,33,0,0,1084,1116,97787,97819,2.25e-09,62.1,group4809,3206-3,3206-3_06641
505,group1524|3206-3|3206-3_00616,unitig_0_chrom|quiver,100.0,1557,0,0,1,1557,98195,99751,0.0,2876.0,group1524,3206-3,3206-3_00616
504,group1523|3206-3|3206-3_00614,unitig_0_chrom|quiver,100.0,933,0,0,1,933,100904,99972,0.0,1724.0,group1523,3206-3,3206-3_00614
4334,group6081|3206-3|3206-3_00613,unitig_0_chrom|quiver,100.0,822,0,0,1,822,101831,101010,0.0,1519.0,group6081,3206-3,3206-3_00613
3541,group4792|3206-3|3206-3_00612,unitig_0_chrom|quiver,100.0,1152,0,0,1,1152,103074,101923,0.0,2128.0,group4792,3206-3,3206-3_00612
3540,group4791|3206-3|3206-3_00611,unitig_0_chrom|quiver,100.0,795,0,0,1,795,103874,103080,0.0,1469.0,group4791,3206-3,3206-3_00611
3539,group4790|3206-3|3206-3_00610,unitig_0_chrom|quiver,100.0,1101,0,0,1,1101,105086,103986,0.0,2034.0,group4790,3206-3,3206-3_00610
3538,group4789|3206-3|3206-3_00609,unitig_0_chrom|quiver,100.0,849,0,0,1,849,105953,105105,0.0,1568.0,group4789,3206-3,3206-3_00609
3537,group4788|3206-3|3206-3_00608,unitig_0_chrom|quiver,100.0,261,0,0,1,261,106155,106415,7.23e-137,483.0,group4788,3206-3,3206-3_00608
3536,group4787|3206-3|3206-3_00607,unitig_0_chrom|quiver,100.0,501,0,0,1,501,106805,107305,0.0,926.0,group4787,3206-3,3206-3_00607
3535,group4786|3206-3|3206-3_00606,unitig_0_chrom|quiver,100.0,828,0,0,1,828,107307,108134,0.0,1530.0,group4786,3206-3,3206-3_00606
3534,group4785|3206-3|3206-3_00605,unitig_0_chrom|quiver,100.0,342,0,0,1,342,108145,108486,0.0,632.0,group4785,3206-3,3206-3_00605
3533,group4784|3206-3|3206-3_00604,unitig_0_chrom|quiver,100.0,660,0,0,1,660,109178,108519,0.0,1219.0,group4784,3206-3,3206-3_00604
3532,group4783|3206-3|3206-3_00603,unitig_0_chrom|quiver,100.0,618,0,0,1,618,109466,110083,0.0,1142.0,group4783,3206-3,3206-3_00603
3531,group4782|3206-3|3206-3_00602,unitig_0_chrom|quiver,100.0,270,0,0,1,270,110267,110536,7.45e-142,499.0,group4782,3206-3,3206-3_00602
3530,group4781|3206-3|3206-3_00600,unitig_0_chrom|quiver,100.0,492,0,0,1,492,111100,111591,0.0,909.0,group4781,3206-3,3206-3_00600
3529,group4780|3206-3|3206-3_00599,unitig_0_chrom|quiver,100.0,702,0,0,1,702,111592,112293,0.0,1297.0,group4780,3206-3,3206-3_00599
3528,group4779|3206-3|3206-3_00598,unitig_0_chrom|quiver,100.0,1377,0,0,1,1377,112318,113694,0.0,2543.0,group4779,3206-3,3206-3_00598
3527,group4778|3206-3|3206-3_00597,unitig_0_chrom|quiver,100.0,459,0,0,1,459,114149,113691,0.0,848.0,group4778,3206-3,3206-3_00597
3526,group4777|3206-3|3206-3_00596,unitig_0_chrom|quiver,100.0,867,0,0,1,867,114184,115050,0.0,1602.0,group4777,3206-3,3206-3_00596
3525,group4776|3206-3|3206-3_00595,unitig_0_chrom|quiver,100.0,450,0,0,1,450,115560,115111,0.0,832.0,group4776,3206-3,3206-3_00595
3524,group4775|3206-3|3206-3_00594,unitig_0_chrom|quiver,100.0,264,0,0,1,264,115971,115708,1.57e-138,488.0,group4775,3206-3,3206-3_00594
3523,group4774|3206-3|3206-3_00593,unitig_0_chrom|quiver,100.0,891,0,0,1,891,117301,116411,0.0,1646.0,group4774,3206-3,3206-3_00593
3522,group4773|3206-3|3206-3_00592,unitig_0_chrom|quiver,100.0,471,0,0,1,471,117400,117870,0.0,870.0,group4773,3206-3,3206-3_00592
3521,group4772|3206-3|3206-3_00591,unitig_0_chrom|quiver,100.0,1143,0,0,1,1143,119017,117875,0.0,2111.0,group4772,3206-3,3206-3_00591
3520,group4771|3206-3|3206-3_00590,unitig_0_chrom|quiver,100.0,774,0,0,1,774,119851,119078,0.0,1430.0,group4771,3206-3,3206-3_00590
3519,group4770|3206-3|3206-3_00589,unitig_0_chrom|quiver,100.0,2388,0,0,1,2388,122228,119841,0.0,4410.0,group4770,3206-3,3206-3_00589
3518,group4769|3206-3|3206-3_00588,unitig_0_chrom|quiver,100.0,1203,0,0,1,1203,122613,123815,0.0,2222.0,group4769,3206-3,3206-3_00588
2110,group3114|3206-3|3206-3_00585,unitig_0_chrom|quiver,100.0,906,0,0,1,906,124747,125652,0.0,1674.0,group3114,3206-3,3206-3_00585
2111,group3115|3206-3|3206-3_00584,unitig_0_chrom|quiver,100.0,870,0,0,1,870,125699,126568,0.0,1607.0,group3115,3206-3,3206-3_00584
2112,group3116|3206-3|3206-3_00583,unitig_0_chrom|quiver,100.0,1098,0,0,1,1098,127775,126678,0.0,2028.0,group3116,3206-3,3206-3_00583
2113,group3117|3206-3|3206-3_00582,unitig_0_chrom|quiver,100.0,288,0,0,1,288,128007,128294,7.88e-152,532.0,group3117,3206-3,3206-3_00582
2114,group3118|3206-3|3206-3_00581,unitig_0_chrom|quiver,100.0,516,0,0,1,516,128806,128291,0.0,953.0,group3118,3206-3,3206-3_00581
2115,group3119|3206-3|3206-3_00580,unitig_0_chrom|quiver,100.0,900,0,0,1,900,129801,128902,0.0,1663.0,group3119,3206-3,3206-3_00580
2117,group3120|3206-3|3206-3_00579,unitig_0_chrom|quiver,100.0,1023,0,0,1,1023,129896,130918,0.0,1890.0,group3120,3206-3,3206-3_00579
2118,group3121|3206-3|3206-3_00578,unitig_0_chrom|quiver,100.0,801,0,0,1,801,131715,130915,0.0,1480.0,group3121,3206-3,3206-3_00578
2119,group3122|3206-3|3206-3_00577,unitig_0_chrom|quiver,100.0,1125,0,0,1,1125,132914,131790,0.0,2078.0,group3122,3206-3,3206-3_00577
2120,group3123|3206-3|3206-3_00576,unitig_0_chrom|quiver,100.0,1167,0,0,1,1167,134106,132940,0.0,2156.0,group3123,3206-3,3206-3_00576
2121,group3124|3206-3|3206-3_00575,unitig_0_chrom|quiver,100.0,294,0,0,1,294,134401,134108,3.72e-155,544.0,group3124,3206-3,3206-3_00575
2122,group3125|3206-3|3206-3_00574,unitig_0_chrom|quiver,100.0,897,0,0,1,897,135853,134957,0.0,1657.0,group3125,3206-3,3206-3_00574
2123,group3126|3206-3|3206-3_00573,unitig_0_chrom|quiver,100.0,975,0,0,1,975,136850,135876,0.0,1801.0,group3126,3206-3,3206-3_00573
2124,group3127|3206-3|3206-3_00572,unitig_0_chrom|quiver,100.0,468,0,0,1,468,137080,137547,0.0,865.0,group3127,3206-3,3206-3_00572
2125,group3128|3206-3|3206-3_00571,unitig_0_chrom|quiver,100.0,1347,0,0,1,1347,138924,137578,0.0,2488.0,group3128,3206-3,3206-3_00571
2126,group3129|3206-3|3206-3_00570,unitig_0_chrom|quiver,100.0,1854,0,0,1,1854,140782,138929,0.0,3424.0,group3129,3206-3,3206-3_00570
2128,group3130|3206-3|3206-3_00569,unitig_0_chrom|quiver,100.0,1335,0,0,1,1335,141022,142356,0.0,2466.0,group3130,3206-3,3206-3_00569
2129,group3131|3206-3|3206-3_00568,unitig_0_chrom|quiver,100.0,1059,0,0,1,1059,143629,142571,0.0,1956.0,group3131,3206-3,3206-3_00568
2130,group3132|3206-3|3206-3_00567,unitig_0_chrom|quiver,100.0,477,0,0,1,477,144133,143657,0.0,881.0,group3132,3206-3,3206-3_00567
2131,group3133|3206-3|3206-3_00566,unitig_0_chrom|quiver,100.0,1245,0,0,1,1245,144375,145619,0.0,2300.0,group3133,3206-3,3206-3_00566
2132,group3134|3206-3|3206-3_00565,unitig_0_chrom|quiver,100.0,1455,0,0,1,1455,145619,147073,0.0,2687.0,group3134,3206-3,3206-3_00565
2133,group3135|3206-3|3206-3_00564,unitig_0_chrom|quiver,100.0,3489,0,0,1,3489,150617,147129,0.0,6444.0,group3135,3206-3,3206-3_00564
2134,group3136|3206-3|3206-3_00563,unitig_0_chrom|quiver,100.0,777,0,0,1,777,151663,150887,0.0,1435.0,group3136,3206-3,3206-3_00563
2135,group3137|3206-3|3206-3_00562,unitig_0_chrom|quiver,100.0,492,0,0,1,492,151750,152241,0.0,909.0,group3137,3206-3,3206-3_00562
2136,group3138|3206-3|3206-3_00561,unitig_0_chrom|quiver,100.0,921,0,0,1,921,152318,153238,0.0,1701.0,group3138,3206-3,3206-3_00561
2137,group3139|3206-3|3206-3_00560,unitig_0_chrom|quiver,100.0,996,0,0,1,996,154532,153537,0.0,1840.0,group3139,3206-3,3206-3_00560
2139,group3140|3206-3|3206-3_00559,unitig_0_chrom|quiver,100.0,1245,0,0,1,1245,154928,156172,0.0,2300.0,group3140,3206-3,3206-3_00559
2140,group3141|3206-3|3206-3_00558,unitig_0_chrom|quiver,100.0,1404,0,0,1,1404,156315,157718,0.0,2593.0,group3141,3206-3,3206-3_00558
2141,group3142|3206-3|3206-3_00557,unitig_0_chrom|quiver,100.0,321,0,0,1,321,158164,157844,4.01e-170,593.0,group3142,3206-3,3206-3_00557
2142,group3143|3206-3|3206-3_00556,unitig_0_chrom|quiver,100.0,1212,0,0,1,1212,159649,158438,0.0,2239.0,group3143,3206-3,3206-3_00556
2143,group3144|3206-3|3206-3_00555,unitig_0_chrom|quiver,100.0,456,0,0,1,456,159913,160368,0.0,843.0,group3144,3206-3,3206-3_00555
2144,group3145|3206-3|3206-3_00554,unitig_0_chrom|quiver,100.0,891,0,0,1,891,161262,160372,0.0,1646.0,group3145,3206-3,3206-3_00554
2145,group3146|3206-3|3206-3_00553,unitig_0_chrom|quiver,100.0,2010,0,0,1,2010,161933,163942,0.0,3712.0,group3146,3206-3,3206-3_00553
2146,group3147|3206-3|3206-3_00551,unitig_0_chrom|quiver,100.0,729,0,0,1,729,165880,166608,0.0,1347.0,group3147,3206-3,3206-3_00551
2147,group3148|3206-3|3206-3_00550,unitig_0_chrom|quiver,100.0,1188,0,0,1,1188,166674,167861,0.0,2194.0,group3148,3206-3,3206-3_00550
2148,group3149|3206-3|3206-3_00549,unitig_0_chrom|quiver,100.0,1038,0,0,1,1038,168051,169088,0.0,1917.0,group3149,3206-3,3206-3_00549
2150,group3150|3206-3|3206-3_00547,unitig_0_chrom|quiver,100.0,2058,0,0,1,2058,169914,171971,0.0,3801.0,group3150,3206-3,3206-3_00547
2151,group3151|3206-3|3206-3_00546,unitig_0_chrom|quiver,100.0,294,0,0,1,294,172290,172583,3.72e-155,544.0,group3151,3206-3,3206-3_00546
4250,group5740|3206-3|3206-3_00545,unitig_0_chrom|quiver,100.0,738,0,0,1,738,173110,173847,0.0,1363.0,group5740,3206-3,3206-3_00545
4249,group5739|3206-3|3206-3_00544,unitig_0_chrom|quiver,100.0,1083,0,0,1,1083,173926,175008,0.0,2001.0,group5739,3206-3,3206-3_00544
4248,group5738|3206-3|3206-3_00543,unitig_0_chrom|quiver,100.0,162,0,0,1,162,175116,175277,4.61e-82,300.0,group5738,3206-3,3206-3_00543
4247,group5737|3206-3|3206-3_00542,unitig_0_chrom|quiver,100.0,798,0,0,1,798,175384,176181,0.0,1474.0,group5737,3206-3,3206-3_00542
4246,group5736|3206-3|3206-3_00541,unitig_0_chrom|quiver,100.0,807,0,0,1,807,176260,177066,0.0,1491.0,group5736,3206-3,3206-3_00541
4271,group5787|3206-3|3206-3_00540,unitig_0_chrom|quiver,100.0,897,0,0,1,897,177139,178035,0.0,1657.0,group5787,3206-3,3206-3_00540
4270,group5786|3206-3|3206-3_00539,unitig_0_chrom|quiver,100.0,693,0,0,1,693,178039,178731,0.0,1280.0,group5786,3206-3,3206-3_00539
4269,group5785|3206-3|3206-3_00538,unitig_0_chrom|quiver,100.0,399,0,0,1,399,178828,179226,0.0,737.0,group5785,3206-3,3206-3_00538
4293,group5846|3206-3|3206-3_00537,unitig_0_chrom|quiver,100.0,234,0,0,1,234,179309,179542,6.55e-122,433.0,group5846,3206-3,3206-3_00537
4294,group5847|3206-3|3206-3_00536,unitig_0_chrom|quiver,100.0,246,0,0,1,246,179956,179711,1.48e-128,455.0,group5847,3206-3,3206-3_00536
4055,group5466|3206-3|3206-3_00534,unitig_0_chrom|quiver,100.0,720,0,0,1,720,180359,181078,0.0,1330.0,group5466,3206-3,3206-3_00534
4054,group5465|3206-3|3206-3_00533,unitig_0_chrom|quiver,100.0,1221,0,0,1,1221,181214,182434,0.0,2255.0,group5465,3206-3,3206-3_00533
4053,group5464|3206-3|3206-3_00532,unitig_0_chrom|quiver,100.0,672,0,0,1,672,182438,183109,0.0,1242.0,group5464,3206-3,3206-3_00532
4052,group5462|3206-3|3206-3_00530,unitig_0_chrom|quiver,100.0,354,0,0,1,354,184075,184428,0.0,654.0,group5462,3206-3,3206-3_00530
4051,group5461|3206-3|3206-3_00529,unitig_0_chrom|quiver,100.0,423,0,0,1,423,184509,184931,0.0,782.0,group5461,3206-3,3206-3_00529
4050,group5460|3206-3|3206-3_00528,unitig_0_chrom|quiver,100.0,306,0,0,1,306,185055,185360,8.3e-162,566.0,group5460,3206-3,3206-3_00528
4049,group5459|3206-3|3206-3_00527,unitig_0_chrom|quiver,100.0,348,0,0,1,348,185539,185886,0.0,643.0,group5459,3206-3,3206-3_00527
4048,group5458|3206-3|3206-3_00526,unitig_0_chrom|quiver,100.0,741,0,0,1,741,186998,186258,0.0,1369.0,group5458,3206-3,3206-3_00526
4047,group5457|3206-3|3206-3_00524,unitig_0_chrom|quiver,100.0,147,0,0,1,147,187887,187741,8.98e-74,272.0,group5457,3206-3,3206-3_00524
4046,group5456|3206-3|3206-3_00523,unitig_0_chrom|quiver,100.0,192,0,0,1,192,188141,188332,1.18e-98,355.0,group5456,3206-3,3206-3_00523
