,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
4311,group5978|3356-147A|3356-147A_03063,unitig_0|quiver,100.0,426,0,0,1,426,64480,64905,0.0,787.0,group5978,3356-147A,3356-147A_03063
4312,group5979|3356-147A|3356-147A_03062,unitig_0|quiver,100.0,1521,0,0,1,1521,65217,66737,0.0,2809.0,group5979,3356-147A,3356-147A_03062
2319,group3426|3356-147A|3356-147A_03061,unitig_0|quiver,100.0,582,0,0,1,582,66941,67522,0.0,1075.0,group3426,3356-147A,3356-147A_03061
2320,group3427|3356-147A|3356-147A_03060,unitig_0|quiver,100.0,375,0,0,1,375,67993,67619,0.0,693.0,group3427,3356-147A,3356-147A_03060
2321,group3428|3356-147A|3356-147A_03059,unitig_0|quiver,100.0,189,0,0,1,189,68190,68002,5.2e-97,350.0,group3428,3356-147A,3356-147A_03059
2322,group3429|3356-147A|3356-147A_03058,unitig_0|quiver,100.0,981,0,0,1,981,68445,69425,0.0,1812.0,group3429,3356-147A,3356-147A_03058
2324,group3430|3356-147A|3356-147A_03057,unitig_0|quiver,100.0,1086,0,0,1,1086,69658,70743,0.0,2006.0,group3430,3356-147A,3356-147A_03057
4313,group5980|3356-147A|3356-147A_03056,unitig_0|quiver,100.0,411,0,0,1,411,71184,70774,0.0,760.0,group5980,3356-147A,3356-147A_03056
2325,group3431|3356-147A|3356-147A_03055,unitig_0|quiver,100.0,1140,0,0,1,1140,71735,72874,0.0,2106.0,group3431,3356-147A,3356-147A_03055
2326,group3432|3356-147A|3356-147A_03054,unitig_0|quiver,100.0,705,0,0,1,705,72871,73575,0.0,1303.0,group3432,3356-147A,3356-147A_03054
2327,group3433|3356-147A|3356-147A_03053,unitig_0|quiver,100.0,1140,0,0,1,1140,73572,74711,0.0,2106.0,group3433,3356-147A,3356-147A_03053
2328,group3434|3356-147A|3356-147A_03052,unitig_0|quiver,100.0,1221,0,0,1,1221,74716,75936,0.0,2255.0,group3434,3356-147A,3356-147A_03052
2329,group3435|3356-147A|3356-147A_03051,unitig_0|quiver,100.0,966,0,0,1,966,76081,77046,0.0,1784.0,group3435,3356-147A,3356-147A_03051
4185,group5728|3356-147A|3356-147A_03049,unitig_0|quiver,75.928,1508,332,26,1,1494,77574,79064,0.0,745.0,group5728,3356-147A,3356-147A_03049
4186,group5729|3356-147A|3356-147A_03050,unitig_0|quiver,100.0,1491,0,0,1,1491,77574,79064,0.0,2754.0,group5729,3356-147A,3356-147A_03050
4184,group5728|3356-147A|3356-147A_03049,unitig_0|quiver,100.0,1494,0,0,1,1494,79532,81025,0.0,2760.0,group5728,3356-147A,3356-147A_03049
4187,group5729|3356-147A|3356-147A_03050,unitig_0|quiver,75.928,1508,332,26,1,1491,79532,81025,0.0,745.0,group5729,3356-147A,3356-147A_03050
4183,group5727|3356-147A|3356-147A_03048,unitig_0|quiver,100.0,282,0,0,1,282,81373,81092,1.61e-148,521.0,group5727,3356-147A,3356-147A_03048
3983,group5467|3356-147A|3356-147A_03047,unitig_0|quiver,100.0,645,0,0,1,645,82201,81557,0.0,1192.0,group5467,3356-147A,3356-147A_03047
3987,group5469|3356-147A|3356-147A_03045,unitig_0|quiver,100.0,270,0,0,1,270,82981,83250,7.2e-142,499.0,group5469,3356-147A,3356-147A_03045
3988,group5470|3356-147A|3356-147A_03044,unitig_0|quiver,100.0,843,0,0,1,843,83336,84178,0.0,1557.0,group5470,3356-147A,3356-147A_03044
4314,group5981|3356-147A|3356-147A_03043,unitig_0|quiver,100.0,777,0,0,1,777,84175,84951,0.0,1435.0,group5981,3356-147A,3356-147A_03043
3989,group5471|3356-147A|3356-147A_03042,unitig_0|quiver,100.0,777,0,0,1,777,85832,85056,0.0,1435.0,group5471,3356-147A,3356-147A_03042
3990,group5472|3356-147A|3356-147A_03041,unitig_0|quiver,100.0,1584,0,0,1,1584,86169,87752,0.0,2926.0,group5472,3356-147A,3356-147A_03041
3469,group4799|3356-147A|3356-147A_03759,unitig_0|quiver,71.845,1854,430,81,74,1881,89670,87863,2e-125,448.0,group4799,3356-147A,3356-147A_03759
3993,group5474|3356-147A|3356-147A_03039,unitig_0|quiver,100.0,1179,0,0,1,1179,90181,91359,0.0,2178.0,group5474,3356-147A,3356-147A_03039
1790,group2860|3356-147A|3356-147A_03038,unitig_0|quiver,100.0,1389,0,0,1,1389,92872,91484,0.0,2566.0,group2860,3356-147A,3356-147A_03038
4158,group5690|3356-147A|3356-147A_03036,unitig_0|quiver,100.0,1170,0,0,1,1170,94193,95362,0.0,2161.0,group5690,3356-147A,3356-147A_03036
4315,group5983|3356-147A|3356-147A_03035,unitig_0|quiver,100.0,231,0,0,1,231,95538,95768,2.92e-120,427.0,group5983,3356-147A,3356-147A_03035
4159,group5691|3356-147A|3356-147A_03034,unitig_0|quiver,100.0,423,0,0,1,423,95872,96294,0.0,782.0,group5691,3356-147A,3356-147A_03034
4160,group5692|3356-147A|3356-147A_03033,unitig_0|quiver,100.0,786,0,0,1,786,97318,96533,0.0,1452.0,group5692,3356-147A,3356-147A_03033
4123,group5648|3356-147A|3356-147A_03032,unitig_0|quiver,100.0,321,0,0,1,321,97971,97651,3.87e-170,593.0,group5648,3356-147A,3356-147A_03032
4124,group5649|3356-147A|3356-147A_03031,unitig_0|quiver,100.0,1404,0,0,1,1404,99452,98049,0.0,2593.0,group5649,3356-147A,3356-147A_03031
4125,group5651|3356-147A|3356-147A_03030,unitig_0|quiver,100.0,507,0,0,1,507,100348,100854,0.0,937.0,group5651,3356-147A,3356-147A_03030
4126,group5652|3356-147A|3356-147A_03029,unitig_0|quiver,100.0,921,0,0,1,921,100951,101871,0.0,1701.0,group5652,3356-147A,3356-147A_03029
4127,group5653|3356-147A|3356-147A_03028,unitig_0|quiver,100.0,771,0,0,1,771,102657,101887,0.0,1424.0,group5653,3356-147A,3356-147A_03028
4128,group5654|3356-147A|3356-147A_03027,unitig_0|quiver,100.0,216,0,0,1,216,103014,102799,5.91e-112,399.0,group5654,3356-147A,3356-147A_03027
4129,group5655|3356-147A|3356-147A_03026,unitig_0|quiver,100.0,387,0,0,1,387,103208,103594,0.0,715.0,group5655,3356-147A,3356-147A_03026
3863,group5210|3356-147A|3356-147A_03024,unitig_0|quiver,100.0,474,0,0,1,474,105086,105559,0.0,876.0,group5210,3356-147A,3356-147A_03024
3861,group5209|3356-147A|3356-147A_03023,unitig_0|quiver,100.0,402,0,0,1,402,106041,105640,0.0,743.0,group5209,3356-147A,3356-147A_03023
784,group1833|3356-147A|3356-147A_03382,unitig_0|quiver,77.536,138,25,5,1441,1575,107785,107919,2.85e-14,78.7,group1833,3356-147A,3356-147A_03382
2332,group3436|3356-147A|3356-147A_02504,unitig_0|quiver,83.333,132,22,0,1393,1524,107785,107916,1.28e-27,122.0,group3436,3356-147A,3356-147A_02504
3857,group5207|3356-147A|3356-147A_03020,unitig_0|quiver,100.0,777,0,0,1,777,109783,109007,0.0,1435.0,group5207,3356-147A,3356-147A_03020
3856,group5206|3356-147A|3356-147A_03019,unitig_0|quiver,100.0,915,0,0,1,915,110721,109807,0.0,1690.0,group5206,3356-147A,3356-147A_03019
3855,group5205|3356-147A|3356-147A_03018,unitig_0|quiver,100.0,384,0,0,1,384,110936,111319,0.0,710.0,group5205,3356-147A,3356-147A_03018
4316,group5985|3356-147A|3356-147A_03017,unitig_0|quiver,100.0,831,0,0,1,831,112191,111361,0.0,1535.0,group5985,3356-147A,3356-147A_03017
4317,group5986|3356-147A|3356-147A_03016,unitig_0|quiver,100.0,591,0,0,1,591,112323,112913,0.0,1092.0,group5986,3356-147A,3356-147A_03016
3854,group5204|3356-147A|3356-147A_03015,unitig_0|quiver,100.0,174,0,0,1,174,113182,113009,1.03e-88,322.0,group5204,3356-147A,3356-147A_03015
4318,group5987|3356-147A|3356-147A_03014,unitig_0|quiver,100.0,1212,0,0,1,1212,114640,113429,0.0,2239.0,group5987,3356-147A,3356-147A_03014
3853,group5203|3356-147A|3356-147A_03013,unitig_0|quiver,100.0,468,0,0,1,468,114765,115232,0.0,865.0,group5203,3356-147A,3356-147A_03013
4319,group5988|3356-147A|3356-147A_03012,unitig_0|quiver,100.0,369,0,0,1,369,115618,115250,0.0,682.0,group5988,3356-147A,3356-147A_03012
4320,group5989|3356-147A|3356-147A_03011,unitig_0|quiver,100.0,435,0,0,1,435,115742,116176,0.0,804.0,group5989,3356-147A,3356-147A_03011
3852,group5202|3356-147A|3356-147A_03010,unitig_0|quiver,100.0,789,0,0,1,789,117052,116264,0.0,1458.0,group5202,3356-147A,3356-147A_03010
3851,group5201|3356-147A|3356-147A_03009,unitig_0|quiver,100.0,876,0,0,1,876,117199,118074,0.0,1618.0,group5201,3356-147A,3356-147A_03009
3850,group5200|3356-147A|3356-147A_03008,unitig_0|quiver,100.0,1032,0,0,1,1032,119342,118311,0.0,1906.0,group5200,3356-147A,3356-147A_03008
3849,group5199|3356-147A|3356-147A_03007,unitig_0|quiver,100.0,618,0,0,1,618,119481,120098,0.0,1142.0,group5199,3356-147A,3356-147A_03007
3848,group5198|3356-147A|3356-147A_03006,unitig_0|quiver,100.0,654,0,0,1,654,120821,120168,0.0,1208.0,group5198,3356-147A,3356-147A_03006
4050,group5554|3356-147A|3356-147A_03005,unitig_0|quiver,100.0,645,0,0,1,645,120910,121554,0.0,1192.0,group5554,3356-147A,3356-147A_03005
4321,group5990|3356-147A|3356-147A_03004,unitig_0|quiver,100.0,204,0,0,1,204,121915,121712,2.6e-105,377.0,group5990,3356-147A,3356-147A_03004
4322,group5991|3356-147A|3356-147A_03003,unitig_0|quiver,100.0,93,0,0,1,93,122169,122077,5.25e-44,172.0,group5991,3356-147A,3356-147A_03003
4049,group5553|3356-147A|3356-147A_03002,unitig_0|quiver,100.0,642,0,0,1,642,122843,122202,0.0,1186.0,group5553,3356-147A,3356-147A_03002
4048,group5552|3356-147A|3356-147A_03001,unitig_0|quiver,100.0,522,0,0,1,522,122932,123453,0.0,965.0,group5552,3356-147A,3356-147A_03001
4047,group5551|3356-147A|3356-147A_03000,unitig_0|quiver,100.0,804,0,0,1,804,124282,123479,0.0,1485.0,group5551,3356-147A,3356-147A_03000
4046,group5550|3356-147A|3356-147A_02999,unitig_0|quiver,100.0,801,0,0,1,801,125085,124285,0.0,1480.0,group5550,3356-147A,3356-147A_02999
4045,group5549|3356-147A|3356-147A_02998,unitig_0|quiver,100.0,1020,0,0,1,1020,126101,125082,0.0,1884.0,group5549,3356-147A,3356-147A_02998
4044,group5548|3356-147A|3356-147A_02997,unitig_0|quiver,100.0,543,0,0,1,543,126259,126801,0.0,1003.0,group5548,3356-147A,3356-147A_02997
4043,group5547|3356-147A|3356-147A_02996,unitig_0|quiver,100.0,147,0,0,1,147,126963,126817,8.69e-74,272.0,group5547,3356-147A,3356-147A_02996
4042,group5546|3356-147A|3356-147A_02995,unitig_0|quiver,100.0,672,0,0,1,672,127104,127775,0.0,1242.0,group5546,3356-147A,3356-147A_02995
4041,group5545|3356-147A|3356-147A_02994,unitig_0|quiver,100.0,1353,0,0,1,1353,127775,129127,0.0,2499.0,group5545,3356-147A,3356-147A_02994
4059,group5571|3356-147A|3356-147A_02993,unitig_0|quiver,100.0,870,0,0,1,870,129271,130140,0.0,1607.0,group5571,3356-147A,3356-147A_02993
4323,group5992|3356-147A|3356-147A_02992,unitig_0|quiver,100.0,555,0,0,1,555,130822,130268,0.0,1026.0,group5992,3356-147A,3356-147A_02992
4060,group5572|3356-147A|3356-147A_02991,unitig_0|quiver,100.0,477,0,0,1,477,131483,131007,0.0,881.0,group5572,3356-147A,3356-147A_02991
4061,group5573|3356-147A|3356-147A_02990,unitig_0|quiver,100.0,210,0,0,1,210,132001,131792,1.24e-108,388.0,group5573,3356-147A,3356-147A_02990
150,group11412|3356-147A|3356-147A_02989,unitig_0|quiver,100.0,282,0,0,1,282,132481,132200,1.61e-148,521.0,group11412,3356-147A,3356-147A_02989
4062,group5575|3356-147A|3356-147A_02988,unitig_0|quiver,100.0,837,0,0,1,837,133361,132525,0.0,1546.0,group5575,3356-147A,3356-147A_02988
4063,group5576|3356-147A|3356-147A_02987,unitig_0|quiver,100.0,957,0,0,1,957,133988,134944,0.0,1768.0,group5576,3356-147A,3356-147A_02987
4064,group5577|3356-147A|3356-147A_02986,unitig_0|quiver,99.9,1002,1,0,1,1002,135983,134982,0.0,1845.0,group5577,3356-147A,3356-147A_02986
4065,group5578|3356-147A|3356-147A_02985,unitig_0|quiver,100.0,213,0,0,1,213,136382,136170,2.71e-110,394.0,group5578,3356-147A,3356-147A_02985
4066,group5579|3356-147A|3356-147A_02984,unitig_0|quiver,100.0,468,0,0,1,468,137396,136929,0.0,865.0,group5579,3356-147A,3356-147A_02984
3931,group5365|3356-147A|3356-147A_02983,unitig_0|quiver,100.0,2787,0,0,1,2787,140496,137710,0.0,5147.0,group5365,3356-147A,3356-147A_02983
3930,group5364|3356-147A|3356-147A_02982,unitig_0|quiver,100.0,387,0,0,1,387,141263,140877,0.0,715.0,group5364,3356-147A,3356-147A_02982
3929,group5363|3356-147A|3356-147A_02980,unitig_0|quiver,100.0,3024,0,0,1,3024,145691,142668,0.0,5585.0,group5363,3356-147A,3356-147A_02980
3928,group5362|3356-147A|3356-147A_02979,unitig_0|quiver,100.0,1791,0,0,1,1791,147797,146007,0.0,3308.0,group5362,3356-147A,3356-147A_02979
3927,group5361|3356-147A|3356-147A_02978,unitig_0|quiver,100.0,342,0,0,1,342,148045,148386,0.0,632.0,group5361,3356-147A,3356-147A_02978
4698,group6708|3356-147A|3356-147A_02977,unitig_0|quiver,100.0,390,0,0,1,390,149051,149440,0.0,721.0,group6708,3356-147A,3356-147A_02977
4699,group6710|3356-147A|3356-147A_02976,unitig_0|quiver,100.0,378,0,0,1,378,149657,150034,0.0,699.0,group6710,3356-147A,3356-147A_02976
4700,group6711|3356-147A|3356-147A_02975,unitig_0|quiver,100.0,480,0,0,1,480,150611,150132,0.0,887.0,group6711,3356-147A,3356-147A_02975
3682,group5055|3356-147A|3356-147A_02974,unitig_0|quiver,100.0,690,0,0,1,690,151439,150750,0.0,1275.0,group5055,3356-147A,3356-147A_02974
3681,group5054|3356-147A|3356-147A_02973,unitig_0|quiver,100.0,2217,0,0,1,2217,151749,153965,0.0,4095.0,group5054,3356-147A,3356-147A_02973
3680,group5053|3356-147A|3356-147A_02972,unitig_0|quiver,100.0,525,0,0,1,525,154509,153985,0.0,970.0,group5053,3356-147A,3356-147A_02972
3679,group5052|3356-147A|3356-147A_02971,unitig_0|quiver,100.0,591,0,0,1,591,155145,154555,0.0,1092.0,group5052,3356-147A,3356-147A_02971
3678,group5051|3356-147A|3356-147A_02970,unitig_0|quiver,100.0,789,0,0,1,789,155412,156200,0.0,1458.0,group5051,3356-147A,3356-147A_02970
3677,group5050|3356-147A|3356-147A_02969,unitig_0|quiver,100.0,1758,0,0,1,1758,156519,158276,0.0,3247.0,group5050,3356-147A,3356-147A_02969
3676,group5049|3356-147A|3356-147A_02968,unitig_0|quiver,100.0,378,0,0,1,378,158588,158965,0.0,699.0,group5049,3356-147A,3356-147A_02968
3675,group5048|3356-147A|3356-147A_02967,unitig_0|quiver,100.0,252,0,0,1,252,159047,159298,6.78e-132,466.0,group5048,3356-147A,3356-147A_02967
3674,group5047|3356-147A|3356-147A_02966,unitig_0|quiver,100.0,1467,0,0,1,1467,159599,161065,0.0,2710.0,group5047,3356-147A,3356-147A_02966
3673,group5046|3356-147A|3356-147A_02965,unitig_0|quiver,100.0,921,0,0,1,921,162117,161197,0.0,1701.0,group5046,3356-147A,3356-147A_02965
3672,group5045|3356-147A|3356-147A_02964,unitig_0|quiver,100.0,882,0,0,1,882,162218,163099,0.0,1629.0,group5045,3356-147A,3356-147A_02964
3671,group5044|3356-147A|3356-147A_02963,unitig_0|quiver,100.0,738,0,0,1,738,163929,163192,0.0,1363.0,group5044,3356-147A,3356-147A_02963
3670,group5043|3356-147A|3356-147A_02962,unitig_0|quiver,100.0,939,0,0,1,939,163995,164933,0.0,1735.0,group5043,3356-147A,3356-147A_02962
3669,group5042|3356-147A|3356-147A_02961,unitig_0|quiver,100.0,804,0,0,1,804,165016,165819,0.0,1485.0,group5042,3356-147A,3356-147A_02961
3668,group5041|3356-147A|3356-147A_02960,unitig_0|quiver,100.0,1251,0,0,1,1251,166286,167536,0.0,2311.0,group5041,3356-147A,3356-147A_02960
4040,group5544|3356-147A|3356-147A_02959,unitig_0|quiver,100.0,348,0,0,1,348,167806,168153,0.0,643.0,group5544,3356-147A,3356-147A_02959
4039,group5543|3356-147A|3356-147A_02958,unitig_0|quiver,100.0,1512,0,0,1,1512,168373,169884,0.0,2793.0,group5543,3356-147A,3356-147A_02958
4038,group5542|3356-147A|3356-147A_02957,unitig_0|quiver,100.0,1185,0,0,1,1185,170000,171184,0.0,2189.0,group5542,3356-147A,3356-147A_02957
4037,group5541|3356-147A|3356-147A_02956,unitig_0|quiver,100.0,990,0,0,1,990,172275,171286,0.0,1829.0,group5541,3356-147A,3356-147A_02956
4036,group5540|3356-147A|3356-147A_02955,unitig_0|quiver,100.0,900,0,0,1,900,172429,173328,0.0,1663.0,group5540,3356-147A,3356-147A_02955
4035,group5539|3356-147A|3356-147A_02954,unitig_0|quiver,100.0,1089,0,0,1,1089,173470,174558,0.0,2012.0,group5539,3356-147A,3356-147A_02954
4034,group5538|3356-147A|3356-147A_02953,unitig_0|quiver,100.0,483,0,0,1,483,174676,175158,0.0,893.0,group5538,3356-147A,3356-147A_02953
4033,group5537|3356-147A|3356-147A_02952,unitig_0|quiver,100.0,693,0,0,1,693,175192,175884,0.0,1280.0,group5537,3356-147A,3356-147A_02952
3811,group5162|3356-147A|3356-147A_02951,unitig_0|quiver,100.0,588,0,0,1,588,176598,176011,0.0,1086.0,group5162,3356-147A,3356-147A_02951
3812,group5163|3356-147A|3356-147A_02950,unitig_0|quiver,100.0,387,0,0,1,387,177004,176618,0.0,715.0,group5163,3356-147A,3356-147A_02950
2978,group4208|3356-147A|3356-147A_03656,unitig_0|quiver,82.028,217,37,2,940,1155,178555,178770,4.89e-46,183.0,group4208,3356-147A,3356-147A_03656
3817,group5165|3356-147A|3356-147A_02947,unitig_0|quiver,100.0,1308,0,0,1,1308,181521,182828,0.0,2416.0,group5165,3356-147A,3356-147A_02947
3818,group5166|3356-147A|3356-147A_02946,unitig_0|quiver,100.0,348,0,0,1,348,182967,183314,0.0,643.0,group5166,3356-147A,3356-147A_02946
4114,group5640|3356-147A|3356-147A_02945,unitig_0|quiver,100.0,681,0,0,1,681,183465,184145,0.0,1258.0,group5640,3356-147A,3356-147A_02945
4701,group6712|3356-147A|3356-147A_02944,unitig_0|quiver,100.0,1125,0,0,1,1125,184142,185266,0.0,2078.0,group6712,3356-147A,3356-147A_02944
4702,group6713|3356-147A|3356-147A_02943,unitig_0|quiver,100.0,1311,0,0,1,1311,186591,185281,0.0,2422.0,group6713,3356-147A,3356-147A_02943
4703,group6714|3356-147A|3356-147A_02942,unitig_0|quiver,100.0,618,0,0,1,618,186845,187462,0.0,1142.0,group6714,3356-147A,3356-147A_02942
3819,group5167|3356-147A|3356-147A_02941,unitig_0|quiver,100.0,798,0,0,1,798,188286,187489,0.0,1474.0,group5167,3356-147A,3356-147A_02941
3820,group5168|3356-147A|3356-147A_02940,unitig_0|quiver,100.0,396,0,0,1,396,188560,188955,0.0,732.0,group5168,3356-147A,3356-147A_02940
3821,group5169|3356-147A|3356-147A_02939,unitig_0|quiver,100.0,1062,0,0,1,1062,189074,190135,0.0,1962.0,group5169,3356-147A,3356-147A_02939
3822,group5170|3356-147A|3356-147A_02938,unitig_0|quiver,100.0,417,0,0,1,417,190594,190178,0.0,771.0,group5170,3356-147A,3356-147A_02938
3823,group5171|3356-147A|3356-147A_02936,unitig_0|quiver,100.0,507,0,0,1,507,192668,192162,0.0,937.0,group5171,3356-147A,3356-147A_02936
3824,group5172|3356-147A|3356-147A_02935,unitig_0|quiver,100.0,1056,0,0,1,1056,193840,192785,0.0,1951.0,group5172,3356-147A,3356-147A_02935
3825,group5173|3356-147A|3356-147A_02934,unitig_0|quiver,100.0,879,0,0,1,879,194003,194881,0.0,1624.0,group5173,3356-147A,3356-147A_02934
3826,group5174|3356-147A|3356-147A_02933,unitig_0|quiver,100.0,753,0,0,1,753,194962,195714,0.0,1391.0,group5174,3356-147A,3356-147A_02933
3827,group5175|3356-147A|3356-147A_02932,unitig_0|quiver,100.0,660,0,0,1,660,195722,196381,0.0,1219.0,group5175,3356-147A,3356-147A_02932
